dataName,description,bHasFinish,numStart,numEnd,numStartFin,numEndFin,numCurr,numCurrFin
EM,Endmill,1,1000,1999,2000,2999,1203,2405
BA,Ballmill,1,3000,3999,4000,4999,3068,4078
BU,Bullmill,1,5000,5999,6000,6999,5055,6044
LP,Lollipop mill,1,7000,7999,8000,8999,7000,8000
FM,Facemill,1,9000,9999,10000,10999,9014,10020
DO,Dovetail mill,1,11000,11999,12000,12999,11000,12000
CM,Chamfer mill,1,13000,13999,14000,14999,13014,14076
CR,Corner Round mill,1,15000,15999,16000,16999,15000,16000
DA,Double Angle Shank Cutter,1,17000,17999,18000,18999,17004,18004
KC,Key Cutter,1,19000,19999,20000,20999,19004,20006
SS,Slitter Saw,1,21000,21999,22000,22999,21000,22000
SD,Spot Drill,1,23000,23999,24000,24999,23000,24037
CS,Countersink,1,25000,25999,26000,26999,25004,26095
DS,Drill Stub,1,27000,27999,28000,28999,27004,28531
DJ,Drill Jobber,1,29000,29999,30000,30999,29000,30323
DT,Drill Taper,1,31000,31999,32000,32999,31000,32035
CD,Circuitboard Drill,1,33000,33999,34000,34999,33124,34124
RM,Reamer,0,0,0,35000,35999,0,35065
CT,Cut Tap,1,0,0,36000,36999,0,36111
RT,Roll Form Tap,1,0,0,37000,37999,0,37064
TM,Thread Mill Straight,1,0,0,38000,38999,0,38000
DC,Coolant Thru Drill,1,39000,39999,40000,40999,39008,40068
TE,Tapered Endmill,1,41000,41999,42000,42999,41004,42004
