iRecordIndex,sToolName,iToolNum,sEssaiPartNum,sMaterial,sHolderName,sToolGroupName,dOHL,sOHL_letter,iRF,dGageLength,sToolManufacturer,sToolEdp,sToolCribLoc,dDia,dLoc,iFlt,dCnrR,dAng,sThread
0,AL003000A,3000,800-501318-05A,AL,HSK63-ER16x100,BA,0.345,A,0,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
1,AL003000B,3000,800-501318-05A,AL,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
2,AL003000C,3000,800-501318-05A,AL,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
3,AL003000D,3000,800-501318-05A,AL,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
4,AL003000E,3000,800-501318-05A,AL,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
5,S1003000A,3000,800-501318-05A,S1,HSK63-ER16x100,BA,0.345,A,0,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
6,S1003000B,3000,800-501318-05A,S1,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
7,S1003000C,3000,800-501318-05A,S1,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
8,S1003000D,3000,800-501318-05A,S1,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
9,S1003000E,3000,800-501318-05A,S1,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
10,PG003000A,3000,800-501318-05A,PG,HSK63-ER16x100,BA,0.345,A,0,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
11,PG003000B,3000,800-501318-05A,PG,HSK63-ER16x100,BA,0.45,B,0,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
12,PG003000C,3000,800-501318-05A,PG,HSK63-ER16x100,BA,0.56,C,0,4.497,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
13,PG003000D,3000,800-501318-05A,PG,HSK63-ER16x100,BA,0.67,D,0,4.607,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
14,PG003000E,3000,800-501318-05A,PG,HSK63-ER16x100,BA,0.78,E,0,4.717,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
15,AL003001A,3001,800-501318-05A,AL,HSK63-ER32x100,BA,0.345,A,0,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
16,AL003001B,3001,800-501318-05A,AL,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
17,S1003001A,3001,800-501318-05A,S1,HSK63-ER32x100,BA,0.345,A,0,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
18,S1003001B,3001,800-501318-05A,S1,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
19,PG003001A,3001,800-501318-05A,PG,HSK63-ER32x100,BA,0.345,A,0,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
20,PG003001B,3001,800-501318-05A,PG,HSK63-ER32x100,BA,0.45,B,0,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
21,AL004000A,4000,800-501318-05A,AL,HSK63-ER16x100,BA,0.345,A,1,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
22,AL004000B,4000,800-501318-05A,AL,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
23,AL004000C,4000,800-501318-05A,AL,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
24,AL004000D,4000,800-501318-05A,AL,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
25,AL004000E,4000,800-501318-05A,AL,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
26,S1004000A,4000,800-501318-05A,S1,HSK63-ER16x100,BA,0.345,A,1,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
27,S1004000B,4000,800-501318-05A,S1,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
28,S1004000C,4000,800-501318-05A,S1,HSK63-ER16x100,BA,0.56,C,1,4.497,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
29,S1004000D,4000,800-501318-05A,S1,HSK63-ER16x100,BA,0.67,D,1,4.607,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
30,S1004000E,4000,800-501318-05A,S1,HSK63-ER16x100,BA,0.78,E,1,4.717,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
31,PG004000A,4000,800-501318-05A,PG,HSK63-ER16x100,BA,0.345,A,1,4.282,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
32,PG004000B,4000,800-501318-05A,PG,HSK63-ER16x100,BA,0.45,B,1,4.387,HARVEY,74002,A5,0.002,0.006,2,0.001,0,
