800-501318-05A,,-2,,,,
800-501318-06A,,,,,,
800-501182,,0,,,,
800-501182-01A,,,,,,
800-501659-03A,,,,,,
800-501205,,25,,,,
800-501193,,,,,,
800-501258,,,,,,
800-500143,,,,,,
800-501728-01A,,63,,,,
800-500144,1-E-1,3,,,,
800-501095,,,,,,
800-502736-01A,,,,,,
800-501313-01A,,,,,,
800-501109,,,,,,
800-501082,,20,,,,
800-501096,,,,,,
800-500680,,,,,,
800-501097,,,,,,
800-500146,1-A-2,22,,,,
800-502737-01A,,,,,,
800-501280,,,,,,
800-500147,,,,,,
800-502808-01A,,,,,,
800-500145,1-F-1,12,,,,
800-501314-01A,,,,,,
800-501851-01A,,,,,,
800-501748-02A,,25,,,,
800-500960-01A,,,,,,
800-500943,,,,,,
800-501850-03A,,,,,,
800-500944,,,,,,
800-501750-03A,,,,,,
800-501038,,,,,,
800-500945,,,,,,
800-501751-02A,,23,,,,
800-500946,,,,,,
800-501752-02A,,,,,,
800-501752-03A,,,,,,
800-502748-03A,,,,,,
800-501469-01A,,,,,,
800-501470-01A,,,,,,
800-501471-01A,,,,,,
800-501138,,,,,,
800-501697-01A,,,,,,
800-502748-01A,,,,,,
800-502748-02A,,,,,,
800-501151,,,,,,
800-501696-01A,,,,,,
800-500918,4-E-3,29,,,,
800-501024,,,,,,
800-501139,,,,,,
800-501166,,8,,,,
800-501140,,,,,,
800-501166-01A,,,,,,
800-502789-01A,,,,,,
800-501106-01A,,,,,,
800-501146-01,,,,,,
800-501295,,,,,,
800-501146,,,,,,
800-501358-01A,,23,,,,
800-501421-01A,,,,,,
800-501146-02,,,,,,
800-501318-04A,,,,,,
800-500301,,83,,,,
800-501266,2-F-10,54,,,,
800-501023-02A,,,,,,
800-501023,,19,,,,
800-501023-01A,,,,,,
800-500302,,68,,,,
800-500303,1-F-7,50,,,,
800-500664-02A,,52,,,,
800-502745-01A,,,,,,
800-502746-01A,,,,,,
800-502747-01A,,53,,,,
800-500304,,89,,,,
800-501064,,90,,,,
800-501388-01A,,92,,,,
800-501388-02A,,9,,,,
800-500663-01A,,,,,,
800-500663,,15,,,,
800-501032,2-E-8,99,,,,
800-502403-01A,,,,,,
800-500289,,124,,,,
800-501683-01A,,,,,,
800-502374-01A,,,,,,
800-502736-02A,,,,,,
800-502736-03A,,,,,,
800-500295,,44,,,,
800-500664,2-D-2,80,,,,
800-500544,,27,,,,
800-501954-01A,,,,,,
800-500664-06A,,,,,,
800-501701-01A,,8,,,,
800-500665,,48,,,,
800-501702-01A,,,,,,
800-500286,1-B-6,118,,,,
800-500709,,106,,,,
800-500709-01A,,71,,,,
800-501702-07A,,,,,,
800-501702-02A,,,,,,
800-501702-03A,,,,,,
800-501703-01A,3-F-4,102,,,,
800-502498-02A,,220,,,,
800-500130,,,,,,
800-502498-01A,,,,,,
800-502415-01A,4-C-3,26,,,,
800-500298,,150,,,,
800-500684,4-F-1,25,,,,
800-500542,,,,,,
800-501149,,47,,,,
800-501080-01A,,,,,,
800-501107,,,,,,
800-501811-01A,,,,,,
800-501080,,,,,,
800-500294,,208,,,,
800-501137,,81,,,,
800-500681,,,,,,
800-502806-01A,,50,,,,
800-501475-01A,,,,,,
800-501852-01A,,,,,,
800-501475-04A,,,,,,
800-501862-02A,,72,,,,
800-500292,,43,,,,
800-500285,,22,,,,
800-501143-01A,,,,,,
800-501143,,,,,,
800-501366-01A,,1,,,,
800-501072,,,,,,
800-500683,,111,,,,
800-500831,2-B-6,141,,,,
800-501748-03A,,,,,,
800-500541,2-A-1,45,,,,
800-501748-01A,,,,,,
800-501849-02A,,,,,,
800-500942,,127,,,,
800-501031,,,,,,
800-500960,,,,,,
800-500960-02A,,,,,,
800-500297,,,,,,
800-501392-01A,,80,,,,
800-500293,,,,,,
800-501743-01A,,,,,,
800-500685,,72,,,,
800-500893,2-C-7,69,,,,
800-500682,,53,,,,
800-501749-01A,,,,,,
800-501107-01A,,,,,,
800-501011,,,,,,
800-501558-11A,,,,,,
800-500664-05A,,,,,,
800-501702-06A,,,,,,
800-501475-03A,,,,,,
800-502850-01A,,,,,,
800-500291,,14,,,,
800-500284,,65,,,,
800-501893-01A,,11,,,,
800-500539,,46,,,,
800-500830,4-B-5,10,,,,
800-500540,,,,,,
800-501010,,,,,,
800-501754-01A,,,,,,
800-501729-01A,,,,,,
800-502850-02A,,,,,,
800-501006,,16,,,,
800-501222,,,,,,
800-501812-01A,,,,,,
800-501039,,,,,,
800-501755-01A,,,,,,
800-500296,1-B-7,68,,,,
800-502861-01A,,,,,,
800-501514-01A,,9,,,,
800-500496,,50,,,,
800-501558-02A,,7,,,,
800-500829,,38,,,,
800-501751-01A,4-E-4,110,,,,
800-501012,,,,,,
800-501756-01A,,,,,,
800-502679-01A,,,,,,
800-500287,,,,,,
800-502624-01A,,,,,,
800-501758-03A,,,,,,
800-501070,,,,,,
800-501558-01A,3-C-3,29,,,,
800-500828,,19,,,,
800-501752-01A,,,,,,
800-501753-01A,,,,,,
800-502606-01A,,,,,,
800-501013,,,,,,
800-502607-01A,,,,,,
800-501757-01A,,,,,,
800-501758-01A,,,,,,
800-502842-01A,,,,,,
800-501911-03A,,,,,,
800-502485-01A,,,,,,
800-502395-01A,,,,,,
800-500718-01A,,,,,,
800-502486-03A,,,,,,
800-502486-01A,,,,,,
800-501341-01A,,,,,,
800-500336,,133,,,,
800-502965-07A,,,,,,
800-500763-06A,,,,,,
800-501309-02A,,,,,,
800-501309-01A,,,,,,
800-501850-04A,,,,,,
800-501849-03A,,,,,,
,,,,,,
